Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,
Timestamp,Timestamp,Low Noise Accelerometer X,Low Noise Accelerometer X,Low Noise Accelerometer Y,Low Noise Accelerometer Y,Low Noise Accelerometer Z,Low Noise Accelerometer Z,Wide Range Accelerometer X,Wide Range Accelerometer X,Wide Range Accelerometer Y,Wide Range Accelerometer Y,Wide Range Accelerometer Z,Wide Range Accelerometer Z,Gyroscope X,Gyroscope X,Gyroscope Y,Gyroscope Y,Gyroscope Z,Gyroscope Z,Pressure,Pressure,Temperature,Temperature,GSR,GSR,
RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,
no units,mSecs,no units,m/(sec^2),no units,m/(sec^2),no units,m/(sec^2),no units,m/(sec^2),no units,m/(sec^2),no units,m/(sec^2),no units,deg/sec,no units,deg/sec,no units,deg/sec,no units,kPa,no units,Celcius*,no units,kOhms,
7093123,0,2009,-3.63855421686747,2349,0.457831325301205,1295,9.06024096385542,5312,-3.25689760882894,448,0.274678111587983,-14720,9.02513795217658,-51,-1.12977099236641,74,0.778625954198473,-54,0.82442748091603,43373,99.731170968254,26921,26.061519518657,49152,-3317.8500331785,1493933658998,
7099677,200.01220703125,2010,-3.66265060240964,2351,0.445783132530121,1296,9.04819277108434,5424,-3.32556713672594,448,0.274678111587983,-15024,9.21152667075414,-51,-1.22137404580153,80,0.778625954198473,-59,0.900763358778626,43374,99.7340550782378,26921,26.061519518657,49152,-3317.8500331785,1493933658998,
7106231,400.0244140625,2007,-3.62650602409639,2348,0.481927710843373,1295,9.06024096385542,5392,-3.30594727161251,384,0.235438381361128,-15056,9.23114653586757,-74,-0.641221374045801,42,1.12977099236641,-30,0.458015267175573,43372,99.7282868590031,26921,26.061519518657,49152,-3317.8500331785,1493933659000,
7112785,600.03662109375,2007,-3.68674698795181,2353,0.481927710843373,1297,9.03614457831325,5408,-3.31575720416922,384,0.235438381361128,-15104,9.26057633353771,-60,-1.0381679389313,68,0.916030534351145,-38,0.580152671755725,43371,99.725402750485,26921,26.061519518657,49152,-3317.8500331785,1493933659104,
7119339,800.048828125,2012,-3.65060240963855,2350,0.421686746987952,1298,9.02409638554217,5440,-3.33537706928265,384,0.235438381361128,-15120,9.27038626609442,-74,-0.931297709923664,61,1.12977099236641,-50,0.763358778625954,43371,99.7288395051758,26923,26.0734237029589,49152,-3317.8500331785,1493933659295,
7125893,1000.06103515625,2009,-3.67469879518072,2352,0.457831325301205,1298,9.02409638554217,5456,-3.34518700183936,432,0.264868179031269,-15152,9.29000613120785,-52,-0.82442748091603,54,0.793893129770992,-35,0.534351145038168,43370,99.7259553202277,26923,26.0734237029589,694,1117.69308147983,1493933659490,
7132447,1200.0732421875,2008,-3.72289156626506,2356,0.469879518072289,1302,8.97590361445783,5488,-3.36480686695279,368,0.225628448804414,-15120,9.27038626609442,-61,-1.12977099236641,74,0.931297709923664,-38,0.580152671755725,43369,99.7230711360123,26923,26.0734237029589,17158,1514.69251741896,1493933659707,
7139001,1400.08544921875,2009,-3.67469879518072,2352,0.457831325301205,1298,9.02409638554217,5536,-3.39423666462293,368,0.225628448804414,-15152,9.29000613120785,-72,-1.14503816793893,75,1.09923664122137,-35,0.534351145038168,43371,99.7288395051758,26923,26.0734237029589,33772,2042.06657137023,1493933659890,
7145555,1600.09765625,2008,-3.71084337349398,2355,0.469879518072289,1300,9,5568,-3.41385652973636,336,0.206008583690987,-15088,9.25076640098099,-49,-0.931297709923664,61,0.748091603053435,-32,0.488549618320611,43369,99.7230711360123,26923,26.0734237029589,50899,2020.68126864836,1493933660107,
7152109,1800.10986328125,2011,-3.68674698795181,2353,0.433734939759036,1297,9.03614457831325,5600,-3.43347639484979,400,0.245248313917842,-15072,9.24095646842428,-53,-1.08396946564885,71,0.809160305343511,-44,0.67175572519084,43369,99.7265075327673,26925,26.0853271162298,50901,2016.96591045236,1493933660319,
7158663,2000.1220703125,2009,-3.72289156626506,2356,0.457831325301205,1298,9.02409638554217,5536,-3.39423666462293,368,0.225628448804414,-15024,9.21152667075414,-87,-0.900763358778626,59,1.32824427480916,-31,0.473282442748092,43370,99.7293917941407,26925,26.0853271162298,50902,2015.11335012594,1493933660507,
7165217,2200.13427734375,2012,-3.69879518072289,2354,0.421686746987952,1297,9.03614457831325,5568,-3.41385652973636,352,0.215818516247701,-15008,9.20171673819742,-35,-1.05343511450382,69,0.534351145038168,-57,0.870229007633588,43369,99.7265075327673,26925,26.0853271162298,50901,2016.96591045236,1493933660705,
